Microsoft (R) COFF/PE Dumper Version 14.30.30706.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file USER32.DLL

File Type: DLL

  Section contains the following exports for USER32.dll

    00000000 characteristics
    2C90DD33 time date stamp Fri Sep 10 16:01:55 1993
        0.00 version
           1 ordinal base
         582 number of functions
         582 number of names

    ordinal hint RVA      name

        441  1B8 000229E6 SetActiveWindow
        442  1B9 0000F186 SetCapture
        443  1BA 00019886 SetCaretBlinkTime
        444  1BB 0000CBF6 SetCaretPos
        445  1BC 0000E386 SetClassLongA
        446  1BD 0001DCD6 SetClassLongW
        447  1BE 00022A36 SetClassWord
        448  1BF 00010DC6 SetClipboardData
        449  1C0 0001BB36 SetClipboardViewer
        450  1C1 00006646 SetCursor
        451  1C2 00018766 SetCursorContents
        452  1C3 0001BB86 SetCursorPos
        453  1C4 00023356 SetDebugErrorLevel
        454  1C5 0001CE86 SetDeskWallpaper
        455  1C6 00023176 SetDesktopBitmap
        456  1C7 0001B596 SetDlgItemInt
        457  1C8 00011F26 SetDlgItemTextA
        458  1C9 00016BF6 SetDlgItemTextW
        459  1CA 000198D6 SetDoubleClickTime
        460  1CB 000082B6 SetFocus
        461  1CC 00017E26 SetForegroundWindow
        462  1CD 00018816 SetInternalWindowPos
        463  1CE 00020E06 SetKeyboardState
        464  1CF 00007AE6 SetLastErrorEx
        465  1D0 000231F6 SetLogonNotifyWindow
        466  1D1 0000E086 SetMenu
        467  1D2 0001CF26 SetMenuItemBitmaps
        468  1D3 0002D3C6 SetMessageQueue
        469  1D4 00022A96 SetParent
        470  1D5 00022AE6 SetProcessWindowStation
        471  1D6 0001BC36 SetPropA
        472  1D7 00013316 SetPropW
        473  1D8 00006816 SetRect
        474  1D9 00009EC6 SetRectEmpty
        475  1DA 0000BB26 SetScrollPos
        476  1DB 0000F746 SetScrollRange
        477  1DC 00016896 SetServerInfoPointer
        478  1DD 00022B36 SetSysColors
        479  1DE 00023246 SetSystemCursor
        480  1DF 00024596 SetSystemMenu
        481  1E0 000246A6 SetSystemTimer
        482  1E1 00019676 SetThreadDesktop
        483  1E2 0000BAB6 SetTimer
        484  1E3 0001D596 SetUserObjectSecurity
        485  1E4 00020C46 SetWindowFullScreenState
        486  1E5 00007A66 SetWindowLongA
        487  1E6 0000B5B6 SetWindowLongW
        488  1E7 000172D6 SetWindowPlacement
        489  1E8 00008506 SetWindowPos
        490  1E9 00008306 SetWindowTextA
        491  1EA 0000F6A6 SetWindowTextW
        492  1EB 00008AF6 SetWindowWord
        493  1EC 000187F6 SetWindowsHookA
        494  1ED 000134C6 SetWindowsHookExA
        495  1EE 000195C6 SetWindowsHookExW
        496  1EF 0001CC96 SetWindowsHookW
        497  1F0 000073A6 ShowCaret
        498  1F1 0000DA66 ShowCursor
        499  1F2 00022C26 ShowOwnedPopups
        500  1F3 00017336 ShowScrollBar
        501  1F4 00014DD6 ShowStartGlass
        502  1F5 0000A266 ShowWindow
        503  1F6 000276C6 Shred
        504  1F7 00009E66 SkipWord
        505  1F8 00009D66 SubtractRect
        506  1F9 00019926 SwapMouseButton
        507  1FA 00019976 SwitchDesktop
        508  1FB 0001B826 SwitchToThisWindow
        509  1FC 00016E56 SystemParametersInfoA
        510  1FD 0001DE36 SystemParametersInfoW
        511  1FE 00026956 TabbedTextOutA
        512  1FF 00025AE6 TabbedTextOutW
        513  200 000217B6 TileChildWindows
        514  201 0001CEA6 ToAscii
        515  202 00022FC6 ToUnicode
        516  203 00022C76 TrackPopupMenu
        517  204 000072D6 TranslateAccelerator
        518  205 000072D6 TranslateAcceleratorA
        519  206 00004856 TranslateAcceleratorW
        520  207 00007346 TranslateMDISysAccel
        521  208 00004276 TranslateMessage
        522  209 00004166 TranslateMessageEx
        523  20A 000199C6 UnhookWindowsHook
        524  20B 00017396 UnhookWindowsHookEx
        525  20C 0000B366 UnionRect
        526  20D 00024496 UnloadKeyboardLayout
        527  20E 00019A16 UnlockWindowStation
        528  20F 00018256 UnpackDDElParam
        529  210 0001BCE6 UnregisterClassA
        530  211 0001B766 UnregisterClassW
        531  212 00022D26 UnregisterHotKey
        532  213 000197C6 UpdatePerUserSystemParameters
        533  214 00006926 UpdateWindow
        534  215 0000B4B6 UserClientDllInitialize
        535  216 00019EC6 UserRegisterWowHandlers
        536  217 00008916 ValidateRect
        537  218 0001CF86 ValidateRgn
        538  219 00017D76 VkKeyScanA
        539  21A 00025BF6 VkKeyScanW
        540  21B 00005DF6 WCSToMBEx
        541  21C 0000E446 WOWCleanup
        542  21D 00018A76 WOWFindWindow
        543  21E 000135C6 WOWGetIdFromDirectory
        544  21F 00011FC6 WOWLoadBitmapA
        545  220 0001AE76 WOWLoadCursorIcon
        546  221 0001D036 WaitForInputIdle
        547  222 0000F7F6 WaitMessage
        548  223 00019456 WinHelpA
        549  224 0001DE56 WinHelpW
        550  225 00021806 WindowFromDC
        551  226 0000C796 WindowFromPoint
        552  227 0000E746 YieldTask
        553  228 00009EF6 _AdjustWindowRectEx
        554  229 0002F2B6 _AnyPopup
        555  22A 00008676 _ClientToScreen
        556  22B 00004F16 _GetClientRect
        557  22C 00005DA6 _GetDesktopWindow
        558  22D 00006B36 _GetKeyState
        559  22E 00008796 _GetMenuItemCount
        560  22F 0000A326 _GetMenuItemID
        561  230 00009D16 _GetMenuState
        562  231 00006976 _GetParent
        563  232 000079E6 _GetSubMenu
        564  233 00009AF6 _GetTopWindow
        565  234 00007686 _GetWindow
        566  235 000042C6 _GetWindowLong
        567  236 00005D26 _GetWindowRect
        568  237 00007DC6 _GetWindowWord
        569  238 00008046 _IsChild
        570  239 00004F56 _IsIconic
        571  23A 0000A2B6 _IsWindowEnabled
        572  23B 00007AF6 _IsWindowVisible
        573  23C 0000D8C6 _IsZoomed
        574  23D 0002F2E6 _MapWindowPoints
        575  23E 000070F6 _ScreenToClient
        576  23F 0002F496 _wsprintf
        577  240 000247B6 keybd_event
        578  241 00024816 mouse_event
        579  242 0000D546 wsprintfA
        580  243 0000B346 wsprintfW
        581  244 0000E936 wvsprintfA
        582  245 0000ACD6 wvsprintfW

  Summary

        1000 .bss
        2000 .data
        4000 .edata
        2000 .idata
        1000 .rdata
        3000 .reloc
        1000 .rsrc
       30000 .text
